local_bsz,step_time,sync_time,num_nodes,num_replicas
20,0.17369531095027924,0.0008139419890940188,1,1
28,0.1739388406276703,0.0007653120085597037,1,1
40,0.18619988858699799,0.0006344959996640682,1,1
57,0.1997404247522354,0.0006387359984219075,1,1
81,0.27514082193374634,0.0006392979919910432,1,1
115,0.27898193895816803,0.0006391560062766076,1,1
163,0.4476453959941864,0.000643887996673584,1,1
231,0.6074568629264832,0.0006421299986541271,1,1
327,0.596522867679596,0.000656191997230053,1,1
400,0.9639934003353119,0.0006432400010526181,1,1
20,0.14333279430866241,0.01595195385813713,1,2
28,0.15694214403629303,0.015072475910186768,1,2
40,0.1616322249174118,0.005544561922550201,1,2
57,0.18466657400131226,0.005551418036222458,1,2
81,0.2752179354429245,0.014118570238351825,1,2
115,0.2741464227437973,0.008205590039491652,1,2
163,0.43867164850234985,0.0058866519927978506,1,2
231,0.5901389271020889,0.007089571982622146,1,2
327,0.608004704117775,0.011792747914791108,1,2
400,0.9676091223955154,0.0115737821161747,1,2
20,0.17992661893367767,0.03564269006252288,1,3
28,0.18071939051151276,0.04095556366443633,1,3
40,0.18925288319587708,0.03039335584640503,1,3
57,0.20851504802703857,0.030030471980571752,1,3
81,0.27930672466754913,0.018603465676307676,1,3
115,0.28286848962306976,0.01617128199338913,1,3
163,0.4433819353580475,0.015496370136737827,1,3
231,0.6031633466482162,0.016288302063941957,1,3
327,0.603902131319046,0.013484728068113329,1,3
400,0.9724031090736389,0.02380770391225815,1,3
20,0.19626285135746002,0.06834782314300537,1,4
28,0.20612630248069763,0.07211046242713928,1,4
40,0.20193065702915192,0.04427390611171722,1,4
57,0.22032226622104645,0.046110189914703364,1,4
81,0.28810374438762665,0.027830458045005797,1,4
115,0.28739801049232483,0.031196659922599797,1,4
163,0.4507853388786316,0.02311849984526634,1,4
231,0.6016291230916977,0.021917360246181485,1,4
327,0.6196347177028656,0.024223724067211152,1,4
400,0.9723058640956879,0.03729550963640213,1,4
